#Bayesian error parameters for SS estimation (2D CD errors, no  side-chain corrections)
#|SS Dist	dim 	mean	SD		min	max	step
Uni_ND		3				0.0	1.0	0.05
&
#|SS change	dim	mean	SD		min	max	step
Gauss			0.05	0.1		0.0	0.2	0.01
&

#|SS project	X-dim		Y-dim
#SS_map		1		2
&

#|Scale Dist   dim      mean    SD   		 min     max     step
#Gauss			0.87	0.25		 0.2	 5.0	 0.2
&

#|NonSS Dist	min	max	step		min	max	step
Custom_2D	0.0	6.0	0.3		0.2	4.2	0.2
# R0_j  SF_j      P_j 
 0.150  3.300  1.180e-25 
 0.450  3.300  5.070e-24 
 0.750  3.300  1.394e-22 
 1.050  3.300  2.452e-21 
 1.350  3.300  2.761e-20 
 1.650  3.300  1.989e-19 
 1.950  3.300  9.170e-19 
 2.250  3.300  2.705e-18 
 2.550  3.300  5.107e-18 
 2.850  3.300  6.170e-18 
 3.150  3.300  4.769e-18 
 3.450  3.300  2.359e-18 
 3.750  3.300  7.468e-19 
 4.050  3.300  1.513e-19 
 4.350  3.300  1.961e-20 
 4.650  3.300  1.626e-21 
 4.950  3.300  8.632e-23 
 5.250  3.300  2.932e-24 
 5.550  3.300  6.373e-26 
 5.850  3.300  8.863e-28 
 0.150  3.500  9.955e-29 
 0.450  3.500  4.277e-27 
 0.750  3.500  1.176e-25 
 1.050  3.500  2.069e-24 
 1.350  3.500  2.329e-23 
 1.650  3.500  1.678e-22 
 1.950  3.500  7.737e-22 
 2.250  3.500  2.282e-21 
 2.550  3.500  4.309e-21 
 2.850  3.500  5.205e-21 
 3.150  3.500  4.024e-21 
 3.450  3.500  1.990e-21 
 3.750  3.500  6.301e-22 
 4.050  3.500  1.276e-22 
 4.350  3.500  1.654e-23 
 4.650  3.500  1.372e-24 
 4.950  3.500  7.283e-26 
 5.250  3.500  2.474e-27 
 5.550  3.500  5.377e-29 
 5.850  3.500  7.478e-31 
 0.150  3.700  4.096e-32 
 0.450  3.700  1.760e-30 
 0.750  3.700  4.838e-29 
 1.050  3.700  8.513e-28 
 1.350  3.700  9.584e-27 
 1.650  3.700  6.905e-26 
 1.950  3.700  3.183e-25 
 2.250  3.700  9.391e-25 
 2.550  3.700  1.773e-24 
 2.850  3.700  2.142e-24 
 3.150  3.700  1.655e-24 
 3.450  3.700  8.189e-25 
 3.750  3.700  2.592e-25 
 4.050  3.700  5.251e-26 
 4.350  3.700  6.806e-27 
 4.650  3.700  5.645e-28 
 4.950  3.700  2.996e-29 
 5.250  3.700  1.018e-30 
 5.550  3.700  2.212e-32 
 5.850  3.700  3.077e-34 
 0.150  3.900  8.217e-36 
 0.450  3.900  3.531e-34 
 0.750  3.900  9.707e-33 
 1.050  3.900  1.708e-31 
 1.350  3.900  1.923e-30 
 1.650  3.900  1.385e-29 
 1.950  3.900  6.386e-29 
 2.250  3.900  1.884e-28 
 2.550  3.900  3.557e-28 
 2.850  3.900  4.296e-28 
 3.150  3.900  3.321e-28 
 3.450  3.900  1.643e-28 
 3.750  3.900  5.201e-29 
 4.050  3.900  1.053e-29 
 4.350  3.900  1.365e-30 
 4.650  3.900  1.133e-31 
 4.950  3.900  6.012e-33 
 5.250  3.900  2.042e-34 
 5.550  3.900  4.438e-36 
 5.850  3.900  6.172e-38 
 0.150  4.100  8.052e-40 
 0.450  4.100  3.454e-38 
 0.750  4.100  9.497e-37 
 1.050  4.100  1.671e-35 
 1.350  4.100  1.881e-34 
 1.650  4.100  1.355e-33 
 1.950  4.100  6.248e-33 
 2.250  4.100  1.843e-32 
 2.550  4.100  3.480e-32 
 2.850  4.100  4.203e-32 
 3.150  4.100  3.249e-32 
 3.450  4.100  1.607e-32 
 3.750  4.100  5.088e-33 
 4.050  4.100  1.031e-33 
 4.350  4.100  1.336e-34 
 4.650  4.100  1.108e-35 
 4.950  4.100  5.881e-37 
 5.250  4.100  1.998e-38 
 5.550  4.100  4.342e-40 
 5.850  4.100  6.038e-42 
&
